date,total_revenue,total_units
2016-06-09,2217690.0,733.0
2016-06-10,2913226.0,743.0
2016-06-11,2893609.0,991.0
2016-06-12,1647613.0,1015.0
2016-06-13,1311572.0,741.0
2016-06-14,1301109.0,727.0
2016-06-15,1947918.0,780.0
2016-06-16,1271096.0,755.0
2016-06-17,1275055.0,742.0
2016-06-18,1652969.0,933.0
2016-06-19,1606934.0,954.0
2016-06-20,2452866.0,816.0
2016-06-21,2722482.0,777.0
2016-06-22,1740590.0,777.0
2016-06-23,1501780.0,756.0
2016-06-24,1776089.0,736.0
2016-06-25,1665445.0,996.0
2016-06-26,1837695.0,1060.0
2016-06-27,1274268.0,711.0
2016-06-28,3338438.0,781.0
2016-06-29,1353127.0,753.0
2016-06-30,1835853.0,721.0
2016-07-01,2587789.0,769.0
2016-07-02,1628424.0,978.0
2016-07-03,1734439.0,1035.0
2016-07-04,2595243.0,834.0
2016-07-05,1261205.0,756.0
2016-07-06,1276445.0,728.0
2016-07-07,1575873.0,732.0
2016-07-08,1295351.0,760.0
2016-07-09,1815347.0,1073.0
2016-07-10,1693392.0,1000.0
2016-07-11,2739787.0,814.0
2016-07-12,1255273.0,739.0
2016-07-13,1272761.0,710.0
2016-07-14,2061411.0,747.0
2016-07-15,1306127.0,737.0
2016-07-16,2223767.0,922.0
2016-07-17,1700398.0,1015.0
2016-07-18,1729482.0,748.0
2016-07-19,1717514.0,764.0
2016-07-20,1181094.0,697.0
2016-07-21,1228079.0,696.0
2016-07-22,2365472.0,775.0
2016-07-23,1746191.0,1007.0
2016-07-24,1697426.0,1003.0
2016-07-25,2750070.0,729.0
2016-07-26,1910129.0,754.0
2016-07-27,1273003.0,751.0
2016-07-28,1888864.0,790.0
2016-07-29,1799607.0,783.0
2016-07-30,2857701.0,1034.0
2016-07-31,2353703.0,934.0
2016-08-01,1326505.0,761.0
2016-08-02,1177969.0,687.0
2016-08-03,1997018.0,681.0
2016-08-04,1316474.0,768.0
2016-08-05,1412569.0,792.0
2016-08-06,1781942.0,1034.0
2016-08-07,1788901.0,1051.0
2016-08-08,1296704.0,751.0
2016-08-09,1504563.0,690.0
2016-08-10,2220502.0,730.0
2016-08-11,2401380.0,772.0
2016-08-12,1338316.0,795.0
2016-08-13,1806770.0,1032.0
2016-08-14,1827655.0,1033.0
2016-08-15,1754360.0,750.0
2016-08-16,1275782.0,722.0
2016-08-17,2255961.0,741.0
2016-08-18,2386794.0,736.0
2016-08-19,1315885.0,747.0
2016-08-20,2416882.0,1042.0
2016-08-21,4144391.0,1022.0
2016-08-22,1971320.0,825.0
2016-08-23,1732062.0,801.0
2016-08-24,1515243.0,782.0
2016-08-25,1215894.0,718.0
2016-08-26,2935586.0,756.0
2016-08-27,1762618.0,1053.0
2016-08-28,1936717.0,855.0
2016-08-29,2161842.0,675.0
2016-08-30,1591120.0,760.0
2016-08-31,1292975.0,747.0
2016-09-01,1832740.0,674.0
2016-09-02,1374375.0,672.0
2016-09-03,1602031.0,913.0
2016-09-04,1565962.0,909.0
2016-09-05,1225085.0,694.0
2016-09-06,1558180.0,619.0
2016-09-07,1078529.0,621.0
2016-09-08,1114627.0,632.0
2016-09-09,1006706.0,563.0
2016-09-10,2272908.0,926.0
2016-09-11,1592850.0,909.0
2016-09-12,932415.0,560.0
2016-09-13,1298125.0,639.0
2016-09-14,1255632.0,713.0
2016-09-15,2460560.0,1321.0
2016-09-16,2524638.0,1331.0
2016-09-17,3205180.0,1690.0
2016-09-18,3243868.0,1598.0
2016-09-19,2745695.0,1304.0
2016-09-20,1157689.0,648.0
2016-09-21,1324295.0,675.0
2016-09-22,1401864.0,708.0
2016-09-23,2316633.0,643.0
2016-09-24,1615818.0,963.0
2016-09-25,1443787.0,909.0
2016-09-26,1151485.0,670.0
2016-09-27,1121140.0,673.0
2016-09-28,1236854.0,718.0
2016-09-29,1608826.0,665.0
2016-09-30,1572500.0,638.0
2016-10-01,1536974.0,918.0
2016-10-02,1541587.0,918.0
2016-10-03,1537154.0,651.0
2016-10-04,2242506.0,647.0
2016-10-05,1144876.0,661.0
2016-10-06,1117758.0,651.0
2016-10-07,1617443.0,680.0
2016-10-08,1645959.0,905.0
2016-10-09,1577055.0,895.0
2016-10-10,2088956.0,653.0
2016-10-11,1088148.0,650.0
2016-10-12,1585591.0,650.0
2016-10-13,1352360.0,596.0
2016-10-14,1138759.0,672.0
2016-10-15,1593507.0,935.0
2016-10-16,1795713.0,917.0
2016-10-17,1204508.0,698.0
2016-10-18,2649401.0,648.0
2016-10-19,1201433.0,689.0
2016-10-20,1608616.0,688.0
2016-10-21,1132854.0,637.0
2016-10-22,1938769.0,891.0
2016-10-23,1653931.0,899.0
2016-10-24,1601341.0,601.0
2016-10-25,1330692.0,660.0
2016-10-26,1185934.0,666.0
2016-10-27,1275118.0,698.0
2016-10-28,1405845.0,652.0
2016-10-29,2843004.0,905.0
2016-10-30,1675557.0,907.0
2016-10-31,1931432.0,650.0
2016-11-01,1497222.0,661.0
2016-11-02,1488371.0,672.0
2016-11-03,1600297.0,660.0
2016-11-04,1274994.0,706.0
2016-11-05,3494653.0,905.0
2016-11-06,3503065.0,901.0
2016-11-07,2144561.0,583.0
2016-11-08,1374424.0,643.0
2016-11-09,1697740.0,648.0
2016-11-10,1075207.0,637.0
2016-11-11,1238012.0,644.0
2016-11-12,1766077.0,918.0
2016-11-13,2256973.0,911.0
2016-11-14,1137151.0,667.0
2016-11-15,1397012.0,678.0
2016-11-16,1413924.0,638.0
2016-11-17,1195492.0,680.0
2016-11-18,2079020.0,669.0
2016-11-19,1728079.0,935.0
2016-11-20,1683661.0,965.0
2016-11-21,3728500.0,692.0
2016-11-22,2134318.0,641.0
2016-11-23,1247002.0,688.0
2016-11-24,1050786.0,637.0
2016-11-25,1494208.0,643.0
2016-11-26,1916458.0,883.0
2016-11-27,1685568.0,966.0
2016-11-28,1111845.0,656.0
2016-11-29,1449171.0,602.0
2016-11-30,1175552.0,662.0
2016-12-01,1223683.0,645.0
2016-12-02,1661004.0,715.0
2016-12-03,2575885.0,932.0
2016-12-04,1658393.0,954.0
2016-12-05,1262108.0,646.0
2016-12-06,2294592.0,656.0
2016-12-07,1470385.0,671.0
2016-12-08,1221280.0,663.0
2016-12-09,1253430.0,638.0
2016-12-10,1769383.0,904.0
2016-12-11,2071202.0,918.0
2016-12-12,1277896.0,668.0
2016-12-13,1656714.0,650.0
2016-12-14,2532641.0,728.0
2016-12-15,1217391.0,662.0
2016-12-16,1437390.0,634.0
2016-12-17,2270308.0,903.0
2016-12-18,2414286.0,862.0
2016-12-19,2468165.0,655.0
2016-12-20,1203183.0,646.0
2016-12-21,1395122.0,662.0
2016-12-22,1163642.0,668.0
2016-12-23,1896429.0,643.0
2016-12-24,1611503.0,907.0
2016-12-25,2276260.0,893.0
2016-12-26,1404352.0,754.0
2016-12-27,1423748.0,694.0
2016-12-28,1043306.0,635.0
2016-12-29,1886824.0,662.0
2016-12-30,1254530.0,596.0
2016-12-31,2166536.0,901.0
2017-01-01,4545074.0,968.0
2017-01-02,1091459.0,612.0
2017-01-03,1606407.0,657.0
2017-01-04,2736832.0,652.0
2017-01-05,1337541.0,696.0
2017-01-06,1185910.0,666.0
2017-01-07,3192914.0,934.0
2017-01-08,1789030.0,963.0
2017-01-09,1796260.0,693.0
2017-01-10,1047959.0,605.0
2017-01-11,1439935.0,705.0
2017-01-12,1674533.0,657.0
2017-01-13,1173497.0,658.0
2017-01-14,1417810.0,851.0
2017-01-15,1949253.0,886.0
2017-01-16,1282651.0,701.0
2017-01-17,1208318.0,666.0
2017-01-18,1442432.0,642.0
2017-01-19,1390056.0,672.0
2017-01-20,1107358.0,645.0
2017-01-21,1642678.0,912.0
2017-01-22,1658350.0,885.0
2017-01-23,2793851.0,701.0
2017-01-24,1160697.0,675.0
2017-01-25,1786964.0,690.0
2017-01-26,2252389.0,686.0
2017-01-27,1770387.0,656.0
2017-01-28,2808515.0,966.0
2017-01-29,2643586.0,942.0
2017-01-30,2370985.0,669.0
2017-01-31,1848761.0,617.0
2017-02-01,1180372.0,662.0
2017-02-02,2005162.0,696.0
2017-02-03,1386355.0,648.0
2017-02-04,1546489.0,836.0
2017-02-05,1524349.0,888.0
2017-02-06,1260967.0,695.0
2017-02-07,1201348.0,670.0
2017-02-08,1158175.0,673.0
2017-02-09,1313441.0,595.0
2017-02-10,1188230.0,642.0
2017-02-11,1698624.0,931.0
2017-02-12,1582175.0,916.0
2017-02-13,1191245.0,676.0
2017-02-14,1084431.0,636.0
2017-02-15,1772933.0,736.0
2017-02-16,1692159.0,679.0
2017-02-17,1169114.0,645.0
2017-02-18,1575877.0,918.0
2017-02-19,1617009.0,900.0
2017-02-20,1717009.0,659.0
2017-02-21,1908403.0,681.0
2017-02-22,1248123.0,705.0
2017-02-23,1477451.0,658.0
2017-02-24,1126394.0,633.0
2017-02-25,2338455.0,917.0
2017-02-26,1623305.0,920.0
2017-02-27,1757846.0,693.0
2017-02-28,1184598.0,681.0
2017-03-01,1204779.0,652.0
2017-03-02,1205871.0,682.0
2017-03-03,1482339.0,673.0
2017-03-04,1648364.0,891.0
2017-03-05,1696209.0,991.0
2017-03-06,1201896.0,653.0
2017-03-07,1458080.0,619.0
2017-03-08,1220492.0,670.0
2017-03-09,1730537.0,687.0
2017-03-10,1144561.0,649.0
2017-03-11,1648557.0,932.0
2017-03-12,1620327.0,924.0
2017-03-13,1781573.0,632.0
2017-03-14,1164851.0,662.0
2017-03-15,1837147.0,682.0
2017-03-16,1487278.0,649.0
2017-03-17,1223698.0,685.0
2017-03-18,3161507.0,963.0
2017-03-19,1682839.0,965.0
2017-03-20,1199493.0,661.0
2017-03-21,1412206.0,655.0
2017-03-22,1270399.0,678.0
2017-03-23,1644077.0,657.0
2017-03-24,1543369.0,647.0
2017-03-25,1642782.0,942.0
2017-03-26,1662550.0,964.0
2017-03-27,1580648.0,648.0
2017-03-28,1195626.0,660.0
2017-03-29,2366864.0,611.0
2017-03-30,1968952.0,545.0
2017-03-31,1473457.0,642.0
2017-04-01,2824042.0,934.0
2017-04-02,1559880.0,935.0
2017-04-03,1486780.0,654.0
2017-04-04,2389879.0,687.0
2017-04-05,1050612.0,613.0
2017-04-06,1193973.0,672.0
2017-04-07,1570712.0,652.0
2017-04-08,1602451.0,912.0
2017-04-09,1730372.0,957.0
2017-04-10,1212745.0,659.0
2017-04-11,1239045.0,678.0
2017-04-12,1190593.0,683.0
2017-04-13,1129288.0,651.0
2017-04-14,1173213.0,660.0
2017-04-15,3197324.0,905.0
2017-04-16,2192848.0,913.0
2017-04-17,1217438.0,697.0
2017-04-18,2423017.0,692.0
2017-04-19,1193864.0,620.0
2017-04-20,1419983.0,649.0
2017-04-21,1715372.0,682.0
2017-04-22,1593271.0,899.0
2017-04-23,2530718.0,987.0
2017-04-24,1492926.0,696.0
2017-04-25,1918444.0,605.0
2017-04-26,1190627.0,665.0
2017-04-27,1277293.0,694.0
2017-04-28,2002591.0,687.0
2017-04-29,1840993.0,961.0
2017-04-30,2217945.0,834.0
2017-05-01,1212818.0,653.0
2017-05-02,1502778.0,698.0
2017-05-03,2493838.0,666.0
2017-05-04,1156682.0,648.0
2017-05-05,1228373.0,665.0
2017-05-06,1662584.0,934.0
2017-05-07,2725375.0,930.0
2017-05-08,2819462.0,677.0
2017-05-09,1456404.0,623.0
2017-05-10,1187681.0,674.0
2017-05-11,2569996.0,665.0
2017-05-12,1214136.0,664.0
2017-05-13,1708876.0,978.0
2017-05-14,1944261.0,858.0
2017-05-15,2333212.0,724.0
2017-05-16,2631300.0,605.0
2017-05-17,2408008.0,677.0
2017-05-18,1141554.0,645.0
2017-05-19,1281001.0,695.0
2017-05-20,1641067.0,911.0
2017-05-21,1914666.0,932.0
2017-05-22,1237320.0,650.0
2017-05-23,1533230.0,669.0
2017-05-24,1693598.0,692.0
2017-05-25,2059663.0,692.0
2017-05-26,2423263.0,682.0
2017-05-27,1791737.0,915.0
2017-05-28,1855829.0,922.0
2017-05-29,1451956.0,642.0
2017-05-30,1761652.0,664.0
2017-05-31,2268664.0,667.0
2017-06-01,1357470.0,725.0
2017-06-02,2333331.0,747.0
2017-06-03,1720748.0,979.0
2017-06-04,2140015.0,872.0
2017-06-05,2485230.0,717.0
2017-06-06,2083521.0,705.0
2017-06-07,1371363.0,727.0
2017-06-08,2742022.0,733.0
2017-06-09,2255717.0,718.0
2017-06-10,1771087.0,1001.0
2017-06-11,2279551.0,938.0
2017-06-12,1362115.0,738.0
2017-06-13,2101829.0,779.0
2017-06-14,2060568.0,754.0
2017-06-15,1321380.0,717.0
2017-06-16,1450943.0,786.0
2017-06-17,2052475.0,999.0
2017-06-18,3195634.0,1042.0
2017-06-19,1502901.0,720.0
2017-06-20,2654327.0,726.0
2017-06-21,1832078.0,767.0
2017-06-22,2502102.0,696.0
2017-06-23,2689357.0,787.0
2017-06-24,2167672.0,1025.0
2017-06-25,1701286.0,901.0
2017-06-26,1384328.0,757.0
2017-06-27,2056541.0,764.0
2017-06-28,1919888.0,749.0
2017-06-29,1806474.0,756.0
2017-06-30,1444944.0,790.0
2017-07-01,1819303.0,971.0
2017-07-02,2240884.0,1024.0
2017-07-03,1304942.0,731.0
2017-07-04,1280726.0,698.0
2017-07-05,1290999.0,702.0
2017-07-06,1826377.0,755.0
2017-07-07,1751627.0,656.0
2017-07-08,1664646.0,939.0
2017-07-09,1858280.0,1041.0
2017-07-10,1372372.0,729.0
2017-07-11,1237197.0,691.0
2017-07-12,1395733.0,760.0
2017-07-13,2051039.0,780.0
2017-07-14,1457289.0,815.0
2017-07-15,2524502.0,1058.0
2017-07-16,1779448.0,973.0
2017-07-17,2395771.0,734.0
2017-07-18,1997891.0,793.0
2017-07-19,1407458.0,772.0
2017-07-20,2768716.0,740.0
2017-07-21,1536564.0,720.0
2017-07-22,3003264.0,1014.0
2017-07-23,1736929.0,998.0
2017-07-24,1853070.0,736.0
2017-07-25,2136744.0,753.0
2017-07-26,1889214.0,748.0
2017-07-27,1347357.0,738.0
2017-07-28,1381012.0,756.0
2017-07-29,1854967.0,1007.0
2017-07-30,1799719.0,979.0
2017-07-31,1827290.0,774.0
2017-08-01,1902976.0,758.0
2017-08-02,1774551.0,739.0
2017-08-03,1472820.0,778.0
2017-08-04,1706172.0,732.0
2017-08-05,1893172.0,1018.0
2017-08-06,2472773.0,1019.0
2017-08-07,2285768.0,748.0
2017-08-08,2009167.0,723.0
2017-08-09,1328235.0,741.0
2017-08-10,1485591.0,808.0
2017-08-11,1802764.0,693.0
2017-08-12,1917524.0,1016.0
2017-08-13,3153714.0,1027.0
2017-08-14,1407274.0,747.0
2017-08-15,2008200.0,780.0
2017-08-16,1467318.0,774.0
2017-08-17,1603824.0,761.0
2017-08-18,1418282.0,744.0
2017-08-19,3211227.0,1051.0
2017-08-20,1806343.0,1026.0
2017-08-21,3079556.0,742.0
2017-08-22,1625226.0,761.0
2017-08-23,2596634.0,742.0
2017-08-24,2137946.0,787.0
2017-08-25,1460496.0,788.0
2017-08-26,1843053.0,976.0
2017-08-27,2180206.0,1034.0
2017-08-28,1468228.0,789.0
2017-08-29,1356105.0,735.0
2017-08-30,1078143.0,608.0
2017-08-31,1641450.0,790.0
2017-09-01,2521217.0,645.0
2017-09-02,1531130.0,782.0
2017-09-03,1682223.0,948.0
2017-09-04,1481683.0,643.0
2017-09-05,1255983.0,700.0
2017-09-06,1224992.0,665.0
2017-09-07,1160278.0,646.0
2017-09-08,1270534.0,686.0
2017-09-09,1868984.0,870.0
2017-09-10,2236118.0,934.0
2017-09-11,1882199.0,716.0
2017-09-12,1169340.0,625.0
2017-09-13,1210638.0,652.0
2017-09-14,1442080.0,655.0
2017-09-15,2498317.0,1268.0
2017-09-16,3100071.0,1588.0
2017-09-17,2887502.0,1461.0
2017-09-18,3588089.0,1328.0
2017-09-19,2722302.0,1338.0
2017-09-20,1236427.0,663.0
2017-09-21,2065354.0,713.0
2017-09-22,1597786.0,643.0
2017-09-23,1788991.0,1010.0
2017-09-24,2149954.0,921.0
2017-09-25,1222293.0,683.0
2017-09-26,1174784.0,646.0
2017-09-27,1430111.0,656.0
2017-09-28,1675955.0,663.0
2017-09-29,1257216.0,662.0
2017-09-30,3243236.0,940.0
2017-10-01,2638336.0,875.0
2017-10-02,1209347.0,637.0
2017-10-03,1162758.0,652.0
2017-10-04,1205022.0,635.0
2017-10-05,1254382.0,675.0
2017-10-06,1713741.0,692.0
2017-10-07,1695463.0,952.0
2017-10-08,2450335.0,962.0
2017-10-09,1171033.0,626.0
2017-10-10,1131388.0,664.0
2017-10-11,1595705.0,681.0
2017-10-12,1949591.0,652.0
2017-10-13,1865524.0,693.0
2017-10-14,2773569.0,902.0
2017-10-15,1597953.0,881.0
2017-10-16,1990636.0,680.0
2017-10-17,1388742.0,668.0
2017-10-18,1724331.0,656.0
2017-10-19,1295682.0,672.0
2017-10-20,1706483.0,701.0
2017-10-21,1873406.0,911.0
2017-10-22,1779610.0,951.0
2017-10-23,1221703.0,659.0
2017-10-24,1167729.0,651.0
2017-10-25,2036210.0,670.0
2017-10-26,2067527.0,650.0
2017-10-27,1265081.0,686.0
2017-10-28,2787397.0,932.0
2017-10-29,2552842.0,920.0
2017-10-30,1279156.0,683.0
2017-10-31,1396447.0,716.0
2017-11-01,2014300.0,666.0
2017-11-02,1283497.0,677.0
2017-11-03,1201405.0,645.0
2017-11-04,2594002.0,935.0
2017-11-05,1993524.0,970.0
2017-11-06,2292393.0,650.0
2017-11-07,1310910.0,710.0
2017-11-08,1292001.0,675.0
2017-11-09,1225709.0,667.0
2017-11-10,1114149.0,612.0
2017-11-11,1709567.0,944.0
2017-11-12,2272939.0,932.0
2017-11-13,1259663.0,686.0
2017-11-14,1278229.0,675.0
2017-11-15,1213028.0,663.0
2017-11-16,2156882.0,669.0
2017-11-17,1637807.0,658.0
2017-11-18,1749332.0,949.0
2017-11-19,2094730.0,894.0
2017-11-20,2329513.0,623.0
2017-11-21,1715873.0,675.0
2017-11-22,2339032.0,660.0
2017-11-23,1333770.0,702.0
2017-11-24,1566304.0,663.0
2017-11-25,2865719.0,876.0
2017-11-26,1656649.0,912.0
2017-11-27,2397305.0,684.0
2017-11-28,1271975.0,631.0
2017-11-29,1825113.0,727.0
2017-11-30,1803934.0,669.0
2017-12-01,1554697.0,625.0
2017-12-02,2526957.0,929.0
2017-12-03,2198258.0,951.0
2017-12-04,1436428.0,668.0
2017-12-05,1317057.0,671.0
2017-12-06,2048332.0,703.0
2017-12-07,1489930.0,727.0
2017-12-08,1360011.0,683.0
2017-12-09,1591364.0,845.0
2017-12-10,2859498.0,821.0
2017-12-11,1328357.0,661.0
2017-12-12,1955422.0,684.0
2017-12-13,1657412.0,564.0
2017-12-14,2253933.0,654.0
2017-12-15,1890485.0,673.0
2017-12-16,2705629.0,881.0
2017-12-17,2632251.0,894.0
2017-12-18,1337281.0,660.0
2017-12-19,1393623.0,665.0
2017-12-20,1374451.0,675.0
2017-12-21,1386793.0,601.0
2017-12-22,2286304.0,678.0
2017-12-23,4041707.0,894.0
2017-12-24,1591717.0,884.0
2017-12-25,1421566.0,705.0
2017-12-26,1390917.0,655.0
2017-12-27,2491989.0,669.0
2017-12-28,1391874.0,678.0
2017-12-29,2541998.0,646.0
2017-12-30,1603166.0,919.0
2017-12-31,2274015.0,873.0
2018-01-01,1211704.0,663.0
2018-01-02,1326825.0,687.0
2018-01-03,1704306.0,628.0
2018-01-04,2734683.0,681.0
2018-01-05,2062548.0,687.0
2018-01-06,1758228.0,948.0
2018-01-07,1754986.0,952.0
2018-01-08,1091036.0,585.0
2018-01-09,2027924.0,674.0
2018-01-10,1780163.0,674.0
2018-01-11,1254995.0,661.0
2018-01-12,2171995.0,674.0
2018-01-13,3035411.0,918.0
2018-01-14,2577274.0,941.0
2018-01-15,2127756.0,684.0
2018-01-16,1201972.0,632.0
2018-01-17,1633169.0,647.0
2018-01-18,1985849.0,650.0
2018-01-19,1223948.0,648.0
2018-01-20,2167403.0,895.0
2018-01-21,2564802.0,900.0
2018-01-22,1202862.0,624.0
2018-01-23,1638595.0,669.0
2018-01-24,1333416.0,693.0
2018-01-25,1494488.0,691.0
2018-01-26,1210261.0,650.0
2018-01-27,1761442.0,978.0
2018-01-28,1572307.0,787.0
2018-01-29,2026495.0,666.0
2018-01-30,1225358.0,674.0
2018-01-31,1344968.0,633.0
2018-02-01,2396713.0,661.0
2018-02-02,1848122.0,638.0
2018-02-03,2906611.0,936.0
2018-02-04,1568805.0,883.0
2018-02-05,1229613.0,642.0
2018-02-06,1136200.0,584.0
2018-02-07,1209383.0,656.0
2018-02-08,1187359.0,635.0
2018-02-09,1681470.0,663.0
2018-02-10,1968592.0,905.0
2018-02-11,1661122.0,928.0
2018-02-12,1669430.0,619.0
2018-02-13,1278134.0,682.0
2018-02-14,1284706.0,692.0
2018-02-15,3224854.0,679.0
2018-02-16,1785904.0,644.0
2018-02-17,1767156.0,926.0
2018-02-18,3814336.0,947.0
2018-02-19,1340086.0,702.0
2018-02-20,1218697.0,645.0
2018-02-21,2303748.0,647.0
2018-02-22,1126767.0,622.0
2018-02-23,1285589.0,666.0
2018-02-24,2054037.0,878.0
2018-02-25,2354638.0,955.0
2018-02-26,1285604.0,677.0
2018-02-27,1291349.0,651.0
2018-02-28,1239221.0,657.0
2018-03-01,1823035.0,638.0
2018-03-02,1734691.0,691.0
2018-03-03,3055573.0,950.0
2018-03-04,2307023.0,949.0
2018-03-05,2374954.0,669.0
2018-03-06,2762804.0,657.0
2018-03-07,1777103.0,652.0
2018-03-08,1250586.0,690.0
2018-03-09,1633923.0,623.0
2018-03-10,1849478.0,915.0
2018-03-11,1600938.0,861.0
2018-03-12,1451003.0,656.0
2018-03-13,1799436.0,646.0
2018-03-14,1174319.0,640.0
2018-03-15,2223049.0,669.0
2018-03-16,3429707.0,654.0
2018-03-17,2697964.0,922.0
2018-03-18,1658389.0,855.0
2018-03-19,1355639.0,700.0
2018-03-20,1281947.0,683.0
2018-03-21,1712839.0,665.0
2018-03-22,1290609.0,658.0
2018-03-23,1280429.0,687.0
2018-03-24,1577006.0,891.0
2018-03-25,1667534.0,834.0
2018-03-26,1395582.0,607.0
2018-03-27,1979983.0,699.0
2018-03-28,2304256.0,648.0
2018-03-29,1179944.0,622.0
